Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_BasicSurvival1a,Quest,Quest Info,,,Nightmare mode intro,,,,,,,,,,,,,,
quest_BasicSurvival1a_description,Quest,Quest Info,,,"NM"
quest_BasicSurvival1a_subtitle,Quest,Quest Info,,,Nightmare mode intro,,,,,,,,,,,,,,
qc_Unknowndesc,items,Quest - Challenge,,,An ancient note with symbols you've never seen before. Caution is advised.,,,,,,,,,,,,,,
qc_Unknown1,items,Quest - Challenge,,,[8B0000]nnoweokUnn I,,,,,,,,,,,,,,
challenge_unknown1,Quest,Challenge Info,,,???,,,,,,,,,,,,,,
challenge_unknown1_subtitle,Quest,Challenge Info,,,[8B0000]nnoweokUnn,,,,,,,,,,,,,,
challenge_unknown1_offer,Quest,Challenge Info,,,An ancient note with symbols you've never seen before. Caution is advised.,,,,,,,,,,,,,,
qc_Unknown2,items,Quest - Challenge,,,[8B0000]TtknwUownon II,,,,,,,,,,,,,,
challenge_unknown2,Quest,Challenge Info,,,???,,,,,,,,,,,,,,
challenge_unknown2_subtitle,Quest,Challenge Info,,,[8B0000]TtknwUownon,,,,,,,,,,,,,,
challenge_unknown2_offer,Quest,Challenge Info,,,An ancient note with symbols you've never seen before. Caution is advised.,,,,,,,,,,,,,,
qc_Unknown3,items,Quest - Challenge,,,[8B0000]enTeUorknnwh III,,,,,,,,,,,,,,
challenge_unknown3,Quest,Challenge Info,,,???,,,,,,,,,,,,,,
challenge_unknown3_subtitle,Quest,Challenge Info,,,[8B0000]enTeUorknnwh,,,,,,,,,,,,,,
challenge_unknown3_offer,Quest,Challenge Info,,,An ancient note with symbols you've never seen before. Caution is advised.,,,,,,,,,,,,,,
questToken,items,Item,,,[8B0000]Toeneqksut
questTokenDesc,items,Item,,,"A strange piece of paper."
tutorialTipQuest03,Journal,,,,"Nightmare mode is intended to make DF even harder than it already is. Be warned, playing with this mode on insane difficulty might be unplayable.\n\nImportant things you'd want to know:\n\n - Staying in the safer biomes will make the zombies stronger.\n - Be cautious when looting.\n - All entities have 10 base armor. This can be reduced with anything that would normally reduce armor.\n - Some enemies are resistant or weak to certain weapons/buffs.\n\nIf there are any issues or concerns then you can put them in the DF addon channel.",,,,,,,,,,,,,,
tutorialTipQuest03_title,Journal,,,,[8B0000]Nightmare Mode,,,,,,,,,,,,,,
buffInfernoName,buffs,Buff,,x,Inferno,,,,,,,,,,,,,,
buffInfernoTooltip,buffs,Buff,,x,Inferno,,,,,,,,,,,,,,
buffInfernoDesc,buffs,Buff,,x,A flame hotter than ever seen.,,,,,,,,,,,,,,
quest_classtraininglaborer4Nm_subtitle,,quests,Quest,Reordered,Gather More Resources and craft a forge,,,,,,,,,,,,,,,
quest_classtraininglaborer4Nm_description,,quests,Quest,Reordered,"Time to do some more gathering, but there's a reason. You're going to need to make your own forge, and these resources will help.",,,,,,,,,,,,,,
quest_classtraininglaborer5Nm_subtitle,,quests,Quest,Reordered,Reinforce your base,,,,,,,,,,,,,,,
quest_classtraininglaborer5Nm_description,,quests,Quest,Reordered,"You need to prepare for what's going to come. Upgrade your base.",,,,,,,,,,,,,,
quest_classtraininglaborer6Nm_subtitle,,quests,Quest,Reordered,Get refined resources and craft better equipment,,,,,,,,,,,,,,,
quest_classtraininglaborer6Nm_description,,quests,Quest,Reordered,"Moving forward you'll need better materials and equipment to fight the undead. Gather advanced materials and craft iron equipment.",,,,,,,,,,,,,,
perkCraftArmorRank1NmDesc,,progression,Perk,New,Crafting Tier: 5-10 for armor. Decrease crafting time by 1%. Armor below quality 11 will no longer degrade on repair.,,Crafting Tier: 5-10 für Rüstung. Verringern Sie Zeit um 1% anfertigt. Rüstung unten Qualität 11 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 5-10 para armadura. Diminuir a elaboração de tempo de 1%. Armadura abaixo qualidade 11 já não degrade no reparo.,Crafting Niveau: 5-10 pour l'armure. Diminution de l'élaboration de temps de 1%. Armure qualité inférieure à la 11 ne sera plus degrade sur la réparation.,Crafting Livello: 5-10 per armatura. Diminuire il tempo di lavorazione dell'1%. Armatura di sotto di qualità 11 non sarà più degrado sulla riparazione.,鎧のために11：ティアを作り上げます。 1％の時間を作り上げ減少。品質11以下アーマーリペアにしなくなり劣化。,계층 공예 : 갑옷 (11). 1 %의 시간을 공예 줄입니다. 수리 품질 (11)가 더 이상 디그레이 아래의 갑옷.,Crafting Poziom: 5-10 do pancerza. Umacnianie zmniejszyć czas 1%. Armor jakości poniżej 11 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 5-10 para armadura. Diminuir a elaboração de tempo de 1%. Armadura abaixo qualidade 11 já não degrade no reparo.,Разработка Tier: 5-10 для брони. Уменьшение времени выработки на 1%. Доспех ниже качества 11 больше не деградирует на ремонт.,Kademe hazırlama: zırh için 11. % 1 bir zaman işçiliği azaltır. tamir üzerinde kalite 11 artık dejenere altında Zırh.,手工艺层：11装甲。减少1％各具特色的时间。下面装甲修理质量11将不再下降。,手工藝層：11裝甲。減少1％各具特色的時間。下面裝甲修理質量11將不再下降。,La elaboración Nivel: 5-10 de armadura. Disminuir la elaboración de tiempo en un 1%. Armadura continuación calidad 11 ya no se degradan en la reparación.
perkCraftArmorRank2NmDesc,,progression,Perk,New,Crafting Tier: 14-19 for armor. Decrease crafting time by 2%. Armor below quality 21 will no longer degrade on repair.,,Crafting Tier: 14-19 für Rüstung. Verringern Sie Zeit um 2% anfertigt. Rüstung unten Qualität 21 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 14-19 para armadura. Diminuir a elaboração de tempo de 2%. Armadura abaixo qualidade 21 já não degrade no reparo.,Crafting Niveau: 14-19 pour l'armure. Diminuer le temps de 2 élaboration%. Armure qualité inférieure à la 21 ne sera plus degrade sur la réparation.,Crafting Livello: 14-19 per armatura. Diminuire il tempo di lavorazione del 2%. Armatura di sotto di qualità 21 non sarà più degrado sulla riparazione.,鎧のために21：ティアを作り上げます。 2％の時間を作り上げ減少。品質21以下アーマーリペアにしなくなり劣化。,계층 공예 : 갑옷 (21). 2 %의 시간 공예 줄입니다. 수리 품질 (21)가 더 이상 디그레이 아래의 갑옷.,Crafting Poziom: 14-19 dla zbroi. Umacnianie zmniejszyć czas 2%. Armor jakości poniżej 21 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 14-19 para armadura. Diminuir a elaboração de tempo de 2%. Armadura abaixo qualidade 21 já não degrade no reparo.,Разработка Tier: 14-19 для брони. Уменьшение времени крафта на 2%. Броня ниже качества 21 больше не деградирует на ремонт.,Kademe hazırlama: zırh için 21. % 2 bir zaman işçiliği azaltır. tamir üzerinde kalite 21 artık dejenere altında Zırh.,手工艺层：21装甲。减少2％各具特色的时间。下面装甲修理质量21将不再下降。,手工藝層：21裝甲。減少2％各具特色的時間。下面裝甲修理質量21將不再下降。,La elaboración Nivel: 14-19 de armadura. Disminuir la elaboración de tiempo en un 2%. Armadura continuación calidad 21 ya no se degradan en la reparación.
perkCraftArmorRank3NmDesc,,progression,Perk,New,Crafting Tier: 22-27 for armor. Decrease crafting time by 3%. Armor below quality 31 will no longer degrade on repair.,,Crafting Tier: 22-27 für Rüstung. Verringern Sie Zeit um 3% anfertigt. Rüstung unten Qualität 31 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 22-27 para armadura. Diminuir a elaboração de tempo de 3%. Armadura abaixo qualidade 31 já não degrade no reparo.,Crafting Niveau: 22-27 pour l'armure. Diminuer le temps de 3 élaboration%. Armure qualité inférieure à la 31 ne sera plus degrade sur la réparation.,Crafting Livello: 22-27 per armatura. Diminuire il tempo di lavorazione del 3%. Armatura di sotto di qualità 31 non sarà più degrado sulla riparazione.,鎧のために31：ティアを作り上げます。 3％の時間を作り上げ減少。品質31以下アーマーリペアにしなくなり劣化。,계층 공예 : 갑옷 (31). 3 %의 시간 공예 줄입니다. 수리 품질 (31)가 더 이상 디그레이 아래의 갑옷.,Crafting Poziom: 22-27 do pancerza. Umacnianie zmniejszyć czas 3%. Armor jakości poniżej 31 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 22-27 para armadura. Diminuir a elaboração de tempo de 3%. Armadura abaixo qualidade 31 já não degrade no reparo.,Разработка Tier: 22-27 для брони. Уменьшение времени обрабатывая на 3%. Доспех ниже качества 31 больше не деградирует на ремонт.,Kademe hazırlama: zırh için 31. % 3 kez işçiliği azaltır. tamir üzerinde kalite 31 artık dejenere altında Zırh.,手工艺层：装甲31。减少3个各具特色％的时间。下面装甲修理质量31将不再下降。,手工藝層：裝甲31。減少3個各具特色％的時間。下面裝甲修理質量31將不再下降。,La elaboración Nivel: 22-27 de armadura. Disminuir la elaboración de tiempo por 3%. Armadura calidad por debajo del 31 ya no se degradan en la reparación.
